parameter,snr,D_true,Dstar_true,f_true,crlb_unbiased_sd,bayes_floor_sd,npe_claimed_sd,npe_achieved_sd,claimed_below_unbiased,claimed_below_bayes
f,10.0,0.6,88.57142857142857,0.08142857142857143,0.09223751681667533,0.07108054981119406,0.09983054,0.03275791,0,0
D,10.0,0.6,88.57142857142857,0.14285714285714285,0.21451576063831024,0.18686943682473292,0.31161574,0.1561098,0,0
Dstar,10.0,0.6,88.57142857142857,0.14285714285714285,1525.0260131247246,88.42242405024932,36.75195,9.1317835,1,1
f,10.0,0.6,88.57142857142857,0.14285714285714285,0.0922375168166753,0.07113569109607325,0.116930015,0.038095817,0,0
D,10.0,0.6,88.57142857142857,0.20428571428571426,0.2310762233087723,0.20140754837528632,0.3768467,0.17030524,0,0
Dstar,10.0,0.6,88.57142857142857,0.20428571428571426,1066.4517574298773,88.26752985312557,35.55233,6.702766,1,1
f,10.0,0.6,88.57142857142857,0.20428571428571426,0.09223751681667532,0.0712204619966717,0.12297212,0.028513905,0,0
D,10.0,0.6,88.57142857142857,0.26571428571428574,0.25040750269063466,0.2184195791619597,0.4527272,0.27194887,0,0
Dstar,10.0,0.6,88.57142857142857,0.26571428571428574,819.9064586692067,88.05910839183203,36.695446,12.367803,1,1
f,10.0,0.6,88.57142857142857,0.26571428571428574,0.09223751681667534,0.07133413443459546,0.1325118,0.04749101,0,0
D,10.0,0.6,88.57142857142857,0.3271428571428572,0.2732684848895673,0.23858170902279804,0.5449212,0.34397855,0,0
Dstar,10.0,0.6,88.57142857142857,0.3271428571428572,665.9502240719321,87.79829964096552,35.785686,11.610306,1,1
f,10.0,0.6,88.57142857142857,0.3271428571428572,0.09223751681667532,0.07147574661339431,0.13646674,0.056193195,0,0
D,10.0,0.6,88.57142857142857,0.38857142857142857,0.30072302893221065,0.26284150881461893,0.61989504,0.36708996,0,0
Dstar,10.0,0.6,88.57142857142857,0.38857142857142857,560.671328354678,87.48650992201398,38.859726,14.69095,1,1
f,10.0,0.6,88.57142857142857,0.38857142857142857,0.0922375168166753,0.07164412338329544,0.13644427,0.06768258,0,0
D,10.0,0.6,88.57142857142857,0.45,0.33431027631944477,0.29256953572614625,0.63135004,0.46600038,0,0
Dstar,10.0,0.6,88.57142857142857,0.45,484.1352422618174,87.12539130464579,40.726307,14.904074,1,1
f,10.0,0.6,88.57142857142857,0.45,0.09223751681667536,0.07183790039829704,0.12623833,0.06438776,0,0
D,10.0,0.6,104.28571428571429,0.02,0.1868255149253025,0.1631145485387355,0.16642678,0.08470247,1,0
