condition,beta,N,P,run_index,seed,tau,event,dwell_stat,rho_std_plateau,collapse_rho_mean
b0.110_N256,0.11,256,38,176,20265285,3740.0,1,36.0,0.16849681016529078,0.8573988573946939
b0.110_N256,0.11,256,38,177,20265286,400.5,1,39.0,0.1556027975797729,0.8575076879093588
b0.110_N256,0.11,256,38,178,20265287,3547.0,1,72.5,0.15751790954940104,0.8573020889982907
b0.110_N256,0.11,256,38,179,20265288,2223.0,1,28.0,0.15597782057222467,0.8576260964198518
b0.110_N256,0.11,256,38,180,20265289,537.0,1,65.0,0.14824696741507282,0.8573034107888869
b0.110_N256,0.11,256,38,181,20265290,782.0,1,41.5,0.159087862461539,0.857352086521433
b0.110_N256,0.11,256,38,182,20265291,780.0,1,57.0,0.1520764669448813,0.8572974176692623
b0.110_N256,0.11,256,38,183,20265292,163.0,1,44.0,0.10420064352658033,0.8573176813961721
b0.110_N256,0.11,256,38,184,20265293,514.0,1,73.5,0.17254470278853168,0.8573007271931475
b0.110_N256,0.11,256,38,185,20265294,1144.5,1,37.5,0.13375347694619427,0.8573670442875956
b0.110_N256,0.11,256,38,186,20265295,397.0,1,35.0,0.15314871583866219,0.8573819940159748
b0.110_N256,0.11,256,38,187,20265296,1323.0,1,126.5,0.15696736305193604,0.8572983918584948
b0.110_N256,0.11,256,38,188,20265297,628.5,1,83.5,0.14474557043248892,0.8573028785844967
b0.110_N256,0.11,256,38,189,20265298,1665.0,1,67.0,0.1643863799015078,0.8572974844496242
b0.110_N256,0.11,256,38,190,20265299,300.0,1,70.5,0.12552909012911073,0.8573028616875106
b0.110_N256,0.11,256,38,191,20265300,3191.5,1,61.5,0.1666556587838244,0.8573034781833129
b0.110_N256,0.11,256,38,192,20265301,395.5,1,60.5,0.1483959082030052,0.8572922985009725
b0.110_N256,0.11,256,38,193,20265302,572.5,1,59.5,0.14352241740344335,0.8572982720137614
b0.110_N256,0.11,256,38,194,20265303,339.0,1,116.5,0.1063185971546616,0.8573237277468466
