condition,beta,N,P,run_index,seed,tau,event,dwell_stat,rho_std_plateau,collapse_rho_mean
b0.130_N32,0.13,32,5,3,20264212,3466.0,1,30.0,0.16461697978357215,0.8177821647168366
b0.130_N32,0.13,32,5,4,20264213,1090.0,1,55.0,0.1581500493466056,0.8177672732643297
b0.130_N32,0.13,32,5,5,20264214,545.0,1,18.5,0.15158790499482058,0.8178417881835149
b0.130_N32,0.13,32,5,6,20264215,3281.0,1,48.0,0.16528833049089153,0.817768787092785
b0.130_N32,0.13,32,5,7,20264216,2514.5,1,69.5,0.16349159240580494,0.8177674198731937
b0.130_N32,0.13,32,5,8,20264217,1364.0,1,22.0,0.16565335597117084,0.8178454485772348
b0.130_N32,0.13,32,5,9,20264218,1251.0,1,88.5,0.16332008978967802,0.8177762951116854
b0.130_N32,0.13,32,5,10,20264219,276.5,1,60.5,0.12405296971378456,0.8177738725376483
b0.130_N32,0.13,32,5,11,20264220,1770.5,1,55.5,0.16477724537971836,0.8177676176508565
b0.130_N32,0.13,32,5,12,20264221,2385.0,1,71.5,0.16241415794889646,0.8177669290468657
b0.130_N32,0.13,32,5,13,20264222,221.0,1,38.5,0.13228183044268235,0.8177682067291694
b0.130_N32,0.13,32,5,14,20264223,597.5,1,63.0,0.14919182751399096,0.8177678868231703
b0.130_N32,0.13,32,5,15,20264224,873.5,1,57.0,0.15824250615665503,0.8177688643433425
b0.130_N32,0.13,32,5,16,20264225,574.5,1,49.0,0.16102729880966876,0.8177873909017882
b0.130_N32,0.13,32,5,17,20264226,685.5,1,28.5,0.1455976953562129,0.8177828358214592
b0.130_N32,0.13,32,5,18,20264227,684.0,1,56.0,0.15870978637753314,0.8177670138503538
b0.130_N32,0.13,32,5,19,20264228,228.0,1,27.0,0.15751331010063313,0.8177889970124383
b0.130_N32,0.13,32,5,20,20264229,989.0,1,9.5,0.17582335722257286,0.8178209595350983
b0.130_N32,0.13,32,5,21,20264230,724.5,1,54.0,0.1487314609240107,0.8177685651459022
b0.130_N32,0.13,32,5,22,20264231,738.0,1,37.5,0.15566512556702758,0.8179156283685273
b0.130_N32,0.13,32,5,23,20264232,520.0,1,57.0,0.14795154674133398,0.8177683340455153
b0.130_N32,0.13,32,5,24,20264233,440.0,1,91.5,0.14179981667720934,0.8177689486324731
b0.130_N32,0.13,32,5,25,20264234,1634.5,1,16.5,0.16418026853166973,0.8177932066567268
b0.130_N32,0.13,32,5,26,20264235,2335.0,1,56.0,0.15842220019360287,0.8177695900561651
b0.130_N32,0.13,32,5,27,20264236,796.5,1,23.5,0.1614891729658302,0.8178490825434404
b0.130_N32,0.13,32,5,28,20264237,163.5,1,19.5,0.14031769624271248,0.8179167133743841
b0.130_N32,0.13,32,5,29,20264238,447.5,1,32.0,0.14705451444388135,0.8177732397990957
b0.130_N32,0.13,32,5,30,20264239,914.0,1,11.0,0.15877163562954222,0.8178573859714803
b0.130_N32,0.13,32,5,31,20264240,729.5,1,74.0,0.15402779141252695,0.8177678136198204
b0.130_N32,0.13,32,5,32,20264241,1541.0,1,45.5,0.16819202520297794,0.8177926542579903
b0.130_N32,0.13,32,5,33,20264242,2091.0,1,46.0,0.16333671416391476,0.8177679629246972
b0.130_N32,0.13,32,5,34,20264243,2574.5,1,64.0,0.162265494655679,0.8177669139550718
b0.130_N32,0.13,32,5,35,20264244,1519.5,1,18.5,0.16428072934935442,0.817870236669101
b0.130_N32,0.13,32,5,36,20264245,1107.0,1,29.0,0.168682504262618,0.8177777937091449
b0.130_N32,0.13,32,5,37,20264246,297.5,1,32.5,0.13387673278400153,0.8178234524246929
b0.130_N32,0.13,32,5,38,20264247,1940.5,1,48.5,0.16691281626334292,0.8177690595638555
b0.130_N32,0.13,32,5,39,20264248,520.0,1,49.5,0.12802658860323876,0.81776824099957
b0.130_N32,0.13,32,5,40,20264249,232.5,1,41.0,0.13182210902364808,0.8177693573774582
b0.130_N32,0.13,32,5,41,20264250,1290.5,1,23.0,0.1691604345835967,0.8178585030585218
b0.130_N32,0.13,32,5,42,20264251,887.5,1,69.5,0.15825272347410616,0.8177817320769805
b0.130_N32,0.13,32,5,43,20264252,1923.0,1,56.5,0.1623942682259256,0.8177687429536343
b0.130_N32,0.13,32,5,44,20264253,902.5,1,35.5,0.16294389487215827,0.8178285522553927
b0.130_N32,0.13,32,5,45,20264254,476.0,1,36.0,0.1486877018642423,0.8177722426763993
b0.130_N32,0.13,32,5,46,20264255,1210.0,1,39.5,0.16959136101088254,0.8177698559753028
b0.130_N32,0.13,32,5,47,20264256,2102.5,1,57.0,0.15843546790810076,0.8177686825301294
b0.130_N32,0.13,32,5,48,20264257,222.5,1,20.5,0.1373821756818669,0.8178131364923334
b0.130_N32,0.13,32,5,49,20264258,1434.5,1,32.0,0.16553041461006418,0.8178067664522406
b0.130_N32,0.13,32,5,50,20264259,1572.0,1,57.0,0.16516638326472755,0.8177673849791328
b0.130_N32,0.13,32,5,51,20264260,1395.0,1,27.5,0.1645914562254699,0.8177872813502508
b0.130_N32,0.13,32,5,52,20264261,658.0,1,17.0,0.1574745120614293,0.8179343933706048
b0.130_N32,0.13,32,5,53,20264262,237.0,1,64.5,0.10237843844919652,0.8177696319104184
b0.130_N32,0.13,32,5,54,20264263,2754.5,1,32.0,0.166922270436789,0.8177738522994165
b0.130_N32,0.13,32,5,55,20264264,1460.5,1,41.0,0.16399188189450378,0.8177454739725794
b0.130_N32,0.13,32,5,56,20264265,1244.0,1,57.0,0.15923125844209435,0.8177683802099464
b0.130_N32,0.13,32,5,57,20264266,5279.0,1,49.5,0.16587109702533323,0.8177665508997214
b0.130_N32,0.13,32,5,58,20264267,1019.0,1,25.5,0.15906531140657548,0.8177714255000659
b0.130_N32,0.13,32,5,59,20264268,1568.5,1,52.0,0.16489418777571418,0.8177667387786917
b0.130_N32,0.13,32,5,60,20264269,1230.5,1,15.0,0.1610874831004406,0.8179152856477143
b0.130_N32,0.13,32,5,61,20264270,842.0,1,62.0,0.16461848360515577,0.8177795045427364
b0.130_N32,0.13,32,5,62,20264271,1120.0,1,59.0,0.16174787708783622,0.8177676664529626
b0.130_N32,0.13,32,5,63,20264272,610.0,1,53.0,0.15368312041080523,0.8177667823246422
b0.130_N32,0.13,32,5,64,20264273,1855.0,1,56.0,0.1684625979468254,0.8177709970834813
b0.130_N32,0.13,32,5,65,20264274,256.0,1,39.0,0.12664891866694677,0.8177695495472523
b0.130_N32,0.13,32,5,66,20264275,371.5,1,51.0,0.14386509480070073,0.817769730179779
b0.130_N32,0.13,32,5,67,20264276,1141.5,1,35.0,0.1610574232384031,0.8178369200037049
b0.130_N32,0.13,32,5,68,20264277,752.0,1,57.0,0.16918470713022127,0.8177687654249978
